NPC,Path,Width,Lenght,LiftPushSpeed,LiftRegularSpeed,RT1EntranceSpeed,RT1ExitSpeed,RT2EntranceSpeed,RT2ExitSpeed,EM1PushSpeed,EM1PushCycle,EM2PushSpeed,EM2PushCycle,Product,Chipboard,Position_0,Position_2,Position_3,Position_4,Position_5,BR_BR2,BR_BR3,Color_black,Color_chary,Color_none,Color_oack,Color_white,Parts_1,Parts_2
16.0,1,520.0,378.0,24.0,16.0,24.0,24.0,24.0,24.0,24.0,16.0,24.0,24.0,BR3-ITW106-K,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
11.0,1,580.0,1879.0,29.0,22.0,29.0,18.0,0.0,0.0,29.0,12.0,18.0,12.0,BR3-ISW106-D,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
17.0,1,374.0,1002.0,21.0,18.0,27.0,27.0,27.0,27.0,27.0,12.0,27.0,21.0,BR2-IKW103-D-A,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0
11.0,0,531.0,1144.0,20.0,12.0,20.0,18.0,0.0,0.0,18.0,12.0,0.0,0.0,BR3-ISW306,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
11.0,0,1697.0,396.0,26.0,11.0,26.0,26.0,12.0,18.0,26.0,12.0,26.0,12.0,BR3-IRW903,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
20.0,1,240.0,305.0,18.0,16.0,20.0,20.0,0.0,0.0,20.0,14.0,0.0,0.0,BR3-IRW412-A,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0
10.0,1,1200.0,730.0,15.0,10.0,18.0,18.0,18.0,18.0,18.0,10.0,18.0,10.0,BR3-IRW215-A,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0
17.0,1,427.0,670.0,21.0,18.0,21.0,27.0,21.0,30.0,27.0,21.0,21.0,21.0,BR3-IKW105,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
19.5,1,794.0,206.0,27.0,21.0,27.0,21.0,21.0,30.0,27.0,21.0,21.0,21.0,BR2-IKW901,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
17.0,0,688.0,374.0,21.0,18.0,21.0,27.0,21.0,30.0,27.0,21.0,21.0,21.0,BR2-IKW101-K,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
12.0,1,477.0,783.0,18.0,13.0,18.0,20.0,20.0,13.0,18.0,13.0,20.0,13.0,BR3-ISW108-D,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
17.0,1,374.0,1002.0,21.0,18.0,27.0,27.0,27.0,27.0,27.0,12.0,27.0,21.0,BR2-IKW103-K-A,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0
19.0,1,200.0,1290.0,32.0,20.0,32.0,17.0,17.0,35.0,32.0,17.0,17.0,17.0,BR3-ISW904,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
16.0,1,223.0,764.0,19.0,20.0,19.0,17.0,17.0,20.0,19.0,17.0,17.0,17.0,BR3-ISW704,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
16.0,1,256.0,425.5,19.0,20.0,19.0,17.0,17.0,20.0,19.0,17.0,17.0,17.0,BR3-ISW112,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
12.0,1,456.0,783.0,18.0,13.0,18.0,20.0,20.0,13.0,18.0,13.0,20.0,13.0,BR3-ISW110,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
12.0,1,477.0,1233.0,18.0,13.0,18.0,20.0,20.0,13.0,18.0,13.0,20.0,13.0,BR3-ISW111-K,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
12.0,1,477.0,1233.0,18.0,13.0,18.0,20.0,20.0,13.0,18.0,13.0,20.0,13.0,BR3-ISW111-D,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
12.0,1,477.0,783.0,18.0,13.0,18.0,20.0,20.0,13.0,18.0,13.0,20.0,13.0,BR3-ISW113-K,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
12.0,1,477.0,783.0,18.0,13.0,18.0,20.0,20.0,13.0,18.0,13.0,20.0,13.0,BR3-ISW113-D,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
12.0,1,477.0,1008.0,18.0,13.0,18.0,20.0,20.0,13.0,18.0,13.0,20.0,13.0,BR3-ISW109-D,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
17.0,0,688.0,374.0,21.0,18.0,21.0,27.0,21.0,30.0,27.0,21.0,21.0,21.0,BR2-IKW101-D,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
19.5,1,794.0,210.0,27.0,21.0,27.0,21.0,21.0,27.0,27.0,21.0,21.0,18.0,BR2-IKW903-A,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
16.0,1,200.0,1390.0,32.0,20.0,32.0,17.0,17.0,35.0,32.0,17.0,17.0,17.0,BR3-ISW902,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
12.0,1,800.0,369.0,23.0,12.0,23.0,18.0,18.0,23.0,23.0,12.0,18.0,12.0,BR2-IKW301-A,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0
20.0,0,275.0,335.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,BR3-ITW403,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
14.0,1,240.0,305.0,15.0,15.0,18.0,18.0,18.0,18.0,18.0,15.0,18.0,15.0,BR3-IRW313-A,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
14.0,1,566.0,258.0,22.0,20.0,22.0,21.0,21.0,21.0,22.0,21.0,21.0,21.0,BR3-IRW122-A,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0
18.0,0,800.0,334.0,23.0,12.0,23.0,18.0,18.0,23.0,23.0,12.0,18.0,12.0,BR3-IKW702-A,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
12.0,1,900.0,460.0,23.0,12.0,23.0,18.0,18.0,23.0,23.0,12.0,18.0,12.0,BR3-IKW204-A,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
14.0,0,970.0,278.0,20.0,14.0,20.0,20.0,0.0,0.0,20.0,14.0,0.0,0.0,BR3-ITW107,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
20.0,0,335.0,278.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,BR3-ITW402,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
12.0,0,378.0,1438.0,24.0,12.0,24.0,12.0,12.0,12.0,24.0,12.0,12.0,12.0,BR3-ISW305,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
19.5,1,794.0,206.0,27.0,21.0,27.0,21.0,21.0,30.0,27.0,21.0,21.0,21.0,BR2-IKW902-A,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
18.0,1,794.0,206.0,27.0,21.0,27.0,21.0,21.0,27.0,27.0,21.0,21.0,18.0,BR2-IKW902-1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
14.0,0,800.0,334.0,23.0,12.0,23.0,18.0,18.0,23.0,23.0,12.0,18.0,12.0,BR3-IKW702-A,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
14.0,0,800.0,334.0,23.0,12.0,23.0,18.0,18.0,23.0,23.0,12.0,18.0,12.0,BR2-IKW702-A,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0
